# NES ROM information (CSV format)
# Fields: rom_id, name, country, crc, hardware, rom_class, mapper, submapper, nametable_layout, prg_rom_size, prg_rom_crc, prg_nvram_size, prg_ram_size, chr_rom_size, chr_rom_crc, chr_nvram_size, chr_ram_size, battery, vs_hardware_type, vs_ppu_type, expansion_type
# Each line is a single ROM entry. Empty fields are left blank.
96,Captain Ed,,3F56A392,2,Licensed Japan,1,0,H,262144,3F56A392,0,0,0,,0,8192,0,,,1
97,,,99C395F9,2,Licensed Japan,48,0,H,131072,202DF297,0,0,131072,093C37FF,0,0,0,,,1
98,Captain Silver,,CB0A3AF4,2,Licensed Japan,1,0,H,131072,0AB39900,0,0,131072,97EB172F,0,0,0,,,1
99,Captain Tsubasa II: Super Striker,,31B44C65,2,Licensed Japan,4,0,H,262144,2EB08777,0,0,131072,C38AEF75,0,0,0,,,1
100,Captain Tsubasa,,F3F1269D,2,Licensed Japan,1,0,H,131072,92873F0E,0,0,131072,462F6575,0,0,0,,,1
101,Casino Derby,,E44001D8,2,Licensed Japan,1,0,H,131072,E44001D8,0,0,0,,0,8192,0,,,22
102,Castle Excellent,,7FA2CC55,2,Licensed Japan,3,2,V,32768,9FA1C11F,0,0,32768,04A8FF2E,0,0,0,,,33
103,Castle Quest,,BF4F4BA6,2,Licensed Japan,4,0,H,131072,CBF4CDF6,0,0,131072,8B66A720,0,0,0,,,1
104,Chack 'n Pop,,622F059D,2,Licensed Japan,0,0,H,16384,4BA78222,0,0,8192,59EAC78D,0,0,0,,,1
105,Challenger,,73418721,2,Licensed Japan,0,0,V,32768,374CB8A6,0,0,8192,958F2B60,0,0,0,,,1
106,Championship Bowling,,9992F445,2,Licensed Japan,3,2,H,32768,11C2E664,0,0,32768,94103FA9,0,0,0,,,1
107,Championship Lode Runner,,ADB5D0B3,2,Licensed Japan,0,0,V,16384,74452E18,0,0,8192,DD53A3E0,0,0,0,,,1
108,,,E0CBC2BA,2,Licensed Japan,1,0,H,262144,076B00AB,8192,0,131072,D556E0F2,0,0,1,,,1
109,Chester Field: Ankoku Shin e no Chousen,,6C70A17B,2,Licensed Japan,2,2,V,131072,6C70A17B,0,0,0,,0,8192,0,,,1
110,,,99686DAD,2,Licensed Japan,1,0,H,131072,579E5D0B,0,0,131072,3CC7C494,0,0,0,,,1
111,,,D923EB5B,2,Licensed Japan,1,0,H,131072,810F3CF0,0,0,131072,5101DF7A,0,0,0,,,1
112,Choplifter,,883454EA,2,Licensed Japan,87,0,V,32768,D6F73886,0,0,16384,D5AAC946,0,0,0,,,1
113,,,38EF66B5,2,Licensed Japan,87,0,V,32768,4776BB2C,0,0,16384,D5AAC946,0,0,0,,,1
114,Circus Charlie,,B87AB35A,2,Licensed Japan,0,0,V,16384,1497C75E,0,0,8192,F76C592A,0,0,0,,,1
115,City Adventure Touch: Mystery of Triangle,,B834EB30,2,Licensed Japan,2,2,V,131072,B834EB30,0,0,0,,0,8192,0,,,1
116,City Connection,,20F98977,2,Licensed Japan,87,0,V,16384,DDA9F780,0,0,16384,CD06F259,0,0,0,,,1
117,Clu Clu Land,,48F68D40,6,Licensed Japan,0,0,H,16384,23A60A62,0,0,8192,A63B8B98,0,0,0,,,1
118,Cobra Command,,24BA90CA,2,Licensed Japan,1,0,H,131072,E4CF4E13,0,0,131072,F59CD28B,0,0,0,,,1
119,,,78C4460D,2,Licensed Japan,1,0,H,262144,78C4460D,8192,0,0,,0,8192,1,,,1
120,,,30A225A8,2,Licensed Japan,4,0,H,131072,6C5DBEDF,8192,0,131072,952E6D87,0,0,1,,,1
121,Conflict,,A6648353,2,Licensed Japan,1,0,H,131072,6A10ADD2,0,8192,131072,2FC28BEA,0,0,0,,,1
122,Cosmic Epsilon,,DC75732F,2,Licensed Japan,4,0,H,131072,AB4AC985,0,0,262144,2360540C,0,0,0,,,29
123,Cosmic Wars,,9F2712DF,2,Licensed Japan,1,0,H,131072,9EAB6B1F,8192,0,131072,8C8F8FA5,0,0,1,,,1
124,Cosmo Genesis,,0CD79B71,2,Licensed Japan,3,2,H,32768,35D8B101,0,0,32768,68445363,0,0,0,,,1
125,,,E53F7A55,2,Licensed Japan,1,0,H,131072,720FFF06,8192,0,131072,CC78B77A,0,0,1,,,1
126,Crayon Shin-chan: Ora to Poi Poi,,DB05106E,2,Licensed Japan,16,5,H,131072,B515E7D4,0,0,131072,A4B121A9,0,0,0,,,1
127,Crazy Climber,,C68363F6,2,Licensed Japan,180,0,H,131072,C68363F6,0,0,0,,0,8192,0,,,28
128,Crisis Force,,FCBF28B1,2,Licensed Japan,23,2,H,131072,99580334,0,2048,131072,A709BCB8,0,0,0,,,1
129,,,E95454FC,2,Licensed Japan,4,0,H,131072,FA918F22,0,0,131072,AB0CA893,0,0,0,,,1
130,Cycle Race Roadman: Gekisou!! Nihon Isshuu 4000km,,E429F0D3,2,Licensed Japan,1,0,H,131072,B5AF14CA,0,0,131072,FF5724DE,0,0,0,,,1
131,Daiva: Imperial of Nirsartia,,721B5217,2,Licensed Japan,2,2,V,131072,721B5217,0,0,0,,0,8192,0,,,1
132,,,3EFF62E4,2,Licensed Japan,4,0,H,262144,A4A4F4BF,8192,0,131072,4D446988,0,0,1,,,1
133,Dash Yarou,,1ED48C5C,2,Licensed Japan,2,2,V,131072,1ED48C5C,0,0,0,,0,8192,0,,,1
134,,,3FC1DC19,2,Licensed Japan,3,2,V,32768,54531910,0,0,32768,4C1673B3,0,0,0,,,1
135,Deep Dungeon III: Yuushi e no Tabi,,73F7E5D8,2,Licensed Japan,1,0,H,262144,73F7E5D8,8192,0,0,,0,8192,1,,,1
136,Deep Dungeon IV: Kuro no Youjutsushi,,FE364BE5,2,Licensed Japan,1,0,H,262144,FE364BE5,8192,0,0,,0,8192,1,,,1
137,Derby Stallion: Zenkokuban,,8C4D59D6,2,Licensed Japan,1,0,H,131072,0B0D4D1B,8192,0,131072,2A2B450E,0,0,1,,,33
138,Devil World,,5FAB6BCE,2,Licensed Japan,0,0,H,16384,4DF3F32E,0,0,8192,3A9AA7A1,0,0,0,,,1
139,Devil World,,145A9A6C,2,Licensed Japan,0,0,H,16384,B97AFB85,0,0,8192,3A9AA7A1,0,0,0,,,1
140,Devil Man,,D1691028,2,Licensed Japan,154,0,H,131072,C1B6B2A6,0,0,131072,13D13564,0,0,0,,,1
141,,,28C2DFCE,2,Licensed Japan,1,0,H,131072,8ED0547E,0,0,131072,0D4D1547,0,0,0,,,1
142,Dig Dug II,,2BE254E9,2,Licensed Japan,0,0,V,32768,BFFCF247,0,0,8192,A221A698,0,0,0,,,1
143,Dig Dug,,B174B680,2,Licensed Japan,0,0,H,16384,82132616,0,0,8192,2DABC198,0,0,0,,,1
144,Megami Tensei II: Digital Devil Story,,96773F32,2,Licensed Japan,19,3,H,262144,1294AB5A,8192,0,262144,B41EE15A,0,0,1,,,1
145,,,10C9A789,2,Licensed Japan,19,3,H,262144,761CCFB5,8192,0,262144,B41EE15A,0,0,1,,,1
146,Megami Tensei: Digital Devil Story,,5393D949,2,Licensed Japan,76,0,V,131072,9F3DA143,0,0,131072,73F1E3CF,0,0,0,,,1
147,Don Doko Don 2,,A7B0536C,2,Licensed Japan,48,0,H,131072,49C84B4E,0,0,262144,2E7215D0,0,0,0,,,1
